name,price,position
Aaron Rogers,7000,QB
Justin Herbert,6800,QB
Derrick Henry,8000,RB
Miles Sanders,6800,RB
Corey Davis,4800,WR
Mike Davis,6800,RB
David Njoko,3000,TE
Tyler Davis,2500,TE
David Johnson,5100,RB
Davante Adams,8600,WR
Alvin Kamara,9200,RB
Julio Jones,7500,WR
Dalvin Cook,9000,RB
James Conner,6600,RB
Kareem Hunt,6700,RB
DAndre Swift,6400,RB
Joe Burrow,5500,QB
AJ Brown,7000,WR
Terry McClaurin,6900,WR
Jakobi Meyers,4900,WR
Bengels,2300,DF
Eagles,4000,DF
Matthew Stafford,6000,QB
Dolphins,3400,DF
Steelers,4600,DF
Kirk Cousins,6200,QB
Deshaun Watson,6500,QB
Matt Ryan,6300,QB
Aaron Jones,7200,RB
Nick Chubb,7000,RB
Ezekiel Elliot,6500,RB
James Robinson,6400,RB
Antonio Gibson,5800,RB
Keenan Allen,7400,WR
Marquise Brown,5800,WR
Curtis Samuel,4700,WR
Rashard Higgins,4500,WR
Hunter Henry,4600,TE
Mark Andrews,4900,TE
Austin Hooper,3900,TE
Cowboys,2200,DF